Año,Entidad,Sexo,Edad,Población afrodescendiente,Población con condición mental,Población con discapacidad,Población hablante de lengua indígena,Población total
2020,SONORA,Total,5 a 9 años,0.012488296,0.01717394,0.066819072,0.009419929,0.281577632
2020,TABASCO,Hombre,10 a 14 años,0.012811476,0.017966024,0.08561837,0.028918338,0.509622897
2020,TABASCO,Hombre,15 a 17 años,0.013394791,0.016720287,0.080415146,0.029233434,0.505544
2020,TABASCO,Hombre,5 a 9 años,0.0132183,0.016173289,0.077471725,0.024352277,0.507484669
2020,TABASCO,Mujer,10 a 14 años,0.013094519,0.012774023,0.076332802,0.029824369,0.490377103
2020,TABASCO,Mujer,15 a 17 años,0.013062593,0.011971408,0.087579467,0.030331784,0.494456
2020,TABASCO,Mujer,5 a 9 años,0.012442004,0.011689865,0.062916848,0.025309917,0.492515331
2020,TABASCO,Total,10 a 14 años,0.012950273,0.015419986,0.08106494,0.029362635,0.284955324
2020,TABASCO,Total,15 a 17 años,0.013230533,0.014372175,0.083957587,0.02977652,0.163637736
2020,TABASCO,Total,5 a 9 años,0.012835962,0.013965134,0.070303225,0.02482393,0.286695525
2020,TAMAULIPAS,Hombre,10 a 14 años,0.009405515,0.020434219,0.077797595,0.000923871,0.509610826
2020,TAMAULIPAS,Hombre,15 a 17 años,0.009858239,0.018303351,0.074245211,0.001637432,0.508395911
